"#","Reference","Qty","Value","Footprint","DNP"
"1","A1","1","RaspberryPi_Pico","Module:RaspberryPi_Pico_SMD",""
"2","C1, C2, C3, C4, C5, C6, C7, C8, C9, C11, C12, C13","12","100nF","Capacitor_SMD:C_0805_2012Metric",""
"3","C10","1","47uF 50V","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm",""
"4","C21","1","47uF 50V","Capacitor_SMD:CP_Elec_6.3x5.2",""
"5","J1","1","12V Power supply","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal",""
"6","J2","1","R&S Attenuator 26.5 GHz","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"7","J3","1","dB Drehgeber","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"8","J4","1","ESP-Controller","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"9","J6","1","Display","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"10","R1, R2, R4, R5, R6, R7, R8, R9, R10, R11","10","15k","Resistor_SMD:R_0805_2012Metric",""
"11","R3","1","15K","Resistor_SMD:R_0805_2012Metric",""
"12","U1, U2, U3, U4, U5, U6, U7, U8, U9","9","DRV8871DDA","Package_SO:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias",""
"13","U10","1","~","0_RNL_ATT:DC-DC_12_5",""
"14","U11","1","~","0_RNL_ATT:ttl_converter",""
"15","U12","1","~","0_RNL_ATT:DC-DC_12_24",""
"16","U13","1","~","0_RNL_ATT:SIL_18",""
