pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
86.9,-74.8,0.0,top,A1,,,RaspberryPi_Pico_SMD,RaspberryPi_Pico,smt
73.7,-55.7,-90.0,top,C1,,,C_0805_2012Metric,100nF,smt
71.2,-119.297349,-90.0,top,C10,,,CP_Radial_D8.0mm_P5.00mm,47uF 50V,tht
101.1,-51.5,-90.0,top,C11,,,C_0805_2012Metric,100nF,smt
64.5,-122.55,90.0,top,C12,,,C_0805_2012Metric,100nF,smt
100.8,-72.5,-90.0,top,C13,,,C_0805_2012Metric,100nF,smt
73.7,-62.6,-90.0,top,C2,,,C_0805_2012Metric,100nF,smt
107.1,-54.0675,90.0,top,C21,,,CP_Elec_6.3x5.2,47uF 50V,smt
73.7,-69.8,90.0,top,C3,,,C_0805_2012Metric,100nF,smt
73.7,-76.8,-90.0,top,C4,,,C_0805_2012Metric,100nF,smt
73.7,-83.65,-90.0,top,C5,,,C_0805_2012Metric,100nF,smt
73.7,-90.75,90.0,top,C6,,,C_0805_2012Metric,100nF,smt
73.7,-97.85,90.0,top,C7,,,C_0805_2012Metric,100nF,smt
73.7,-104.75,90.0,top,C8,,,C_0805_2012Metric,100nF,smt
73.7,-111.85,90.0,top,C9,,,C_0805_2012Metric,100nF,smt
56.6,-51.6,0.0,top,H1,,,MountingHole_2.5mm,MountingHole,tht
128.6,-51.6,0.0,top,H2,,,MountingHole_2.5mm,MountingHole,tht
56.6,-123.6,0.0,top,H3,,,MountingHole_2.5mm,MountingHole,tht
128.6,-123.6,0.0,top,H4,,,MountingHole_2.5mm,MountingHole,tht
120.3,-54.5,180.0,top,J1,,,TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal,12V Power supply,tht
128.696641,-115.28,180.0,top,J2,,,PinHeader_2x05_P2.54mm_Vertical,R&S Attenuator 26.5 GHz,tht
128.6,-96.52,180.0,top,J3,,,PinHeader_1x05_P2.54mm_Vertical,dB Drehgeber,tht
71.0,-51.6,-90.0,top,J4,,,PinHeader_1x04_P2.54mm_Vertical,ESP-Controller,tht
128.7,-77.78,180.0,top,J6,,,PinHeader_1x04_P2.54mm_Vertical,Display,tht
71.1,-55.7,90.0,top,R1,,,R_0805_2012Metric,15k,smt
128.675,-59.0,0.0,top,R10,,,R_0805_2012Metric,15k,smt
128.6875,-62.5,180.0,top,R11,,,R_0805_2012Metric,15k,smt
71.1,-62.6,90.0,top,R2,,,R_0805_2012Metric,15k,smt
71.0,-69.8,90.0,top,R3,,,R_0805_2012Metric,15K,smt
71.0,-76.8,90.0,top,R4,,,R_0805_2012Metric,15k,smt
71.1,-83.6875,-90.0,top,R5,,,R_0805_2012Metric,15k,smt
71.0,-90.7875,90.0,top,R6,,,R_0805_2012Metric,15k,smt
71.0,-97.8875,90.0,top,R7,,,R_0805_2012Metric,15k,smt
71.0,-104.7875,90.0,top,R8,,,R_0805_2012Metric,15k,smt
71.0,-111.8875,90.0,top,R9,,,R_0805_2012Metric,15k,smt
65.5,-58.5,180.0,top,U1,,,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,DRV8871DDA,smt
111.53,-71.1,180.0,top,U10,,,DC-DC_12_5,~,smt
111.6,-88.5,0.0,top,U11,,,ttl_converter,~,smt
97.9,-114.7,90.0,top,U12,,,DC-DC_12_24,~,smt
56.6,-73.14,0.0,top,U13,,,SIL_18,~,smt
65.4,-65.5,180.0,top,U2,,,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,DRV8871DDA,smt
65.35,-72.6,180.0,top,U3,,,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,DRV8871DDA,smt
65.2,-79.5,180.0,top,U4,,,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,DRV8871DDA,smt
65.3,-86.5,180.0,top,U5,,,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,DRV8871DDA,smt
65.2,-93.6,180.0,top,U6,,,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,DRV8871DDA,smt
65.1,-100.6,180.0,top,U7,,,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,DRV8871DDA,smt
65.05,-107.6,180.0,top,U8,,,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,DRV8871DDA,smt
65.05,-114.7,180.0,top,U9,,,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,DRV8871DDA,smt
