"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","RaspberryPi_Pico","","","","Module:RaspberryPi_Pico_SMD","https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf"
"C1,C2,C3,C4","4","100nF","","","","Resistor_SMD:R_0805_2012Metric",""
"C5,C6,C7,C8,C9,C11,C12","7","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C10","1","47uF 50V","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm",""
"C21","1","47uF 50V","","","","Capacitor_SMD:CP_Elec_6.3x5.2",""
"J1","1","12V Power supply","","","","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal",""
"J2","1","R&S Attenuator 26.5 GHz","","","","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"J3","1","dB Drehgeber","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"J4","1","ESP-Controller","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J5","1","ATT_SEL","","","","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical",""
"J6","1","Display","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"R1,R2,R4","3","15k","","","","Resistor_SMD:R_0805_2012Metric",""
"R3","1","15K","","","","Resistor_SMD:R_0805_2012Metric",""
"R5,R6,R7,R8,R9","5","15k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"U1,U2,U3,U4,U5,U6,U7,U8,U9","9","DRV8871DDA","","","","Package_SO:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias","http://www.ti.com/lit/ds/symlink/drv8871.pdf"
"U10","1","","","","","0_RNL_ATT:DC-DC_12_5",""
"U11","1","","","","","0_RNL_ATT:ttl_converter",""
"U12","1","","","","","0_RNL_ATT:DC-DC_12_24",""
"U13","1","","","","","0_RNL_ATT:SIL_18",""
