"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","RaspberryPi_Pico","","","","Module:RaspberryPi_Pico_SMD","https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf"
"C1","1","100nF","","","","Resistor_SMD:R_0805_2012Metric",""
"C2,C5,C6","3","100 nF","","","","",""
"C3,C4,C7","3","100nF","","","","",""
"C10,C20_1","2","47uF 50V","","","","",""
"J1","1","12V Power supply","","","","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal",""
"J2","1","Dsiplay","","","","",""
"J3","1","dB Drehgeber","","","","",""
"J4","1","ESP-Controller","","","","",""
"J5","1","R&S Attenuator 26.5 GHz","","","","",""
"J6","1","20dB_A","","","","",""
"J7","1","40dB_A","","","","",""
"J8","1","20dB_B","","","","",""
"J9","1","5dB","","","","",""
"J10","1","RF_ON_OFF","","","","",""
"J11","1","40dB_B","","","","",""
"J12","1","10dB","","","","",""
"J13","1","ATT_SEL","","","","",""
"J14","1","Conn_01x02_Pin","","","","",""
"R1,R2,R3,R5,R6,R7","6","15k","","","","",""
"R4","1","15K","","","","",""
"U1,U2,U3,U4,U5,U6,U7","7","DRV8871DDA","","","","Package_SO:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias","http://www.ti.com/lit/ds/symlink/drv8871.pdf"
"U10","1","","","","","",""
"U20","1","","","","","RNL_ATT:MP1584EN_module",""
"U30","1","","","","","RNL_ATT:ttl_converter",""
